TAIR ID,Gene
At1g02920,"Glutathione S-transferase, putative,GST11b"
At1g33960,"avrRpt2 induced gene 1,AIG1"
At2g02930,"Glutathione S-transferase, putative,GST16"
At2g35980,"NDR1/HIN1 like protein,NHL10"
At3g26820,Esterase/lipase/thioesterase family protein
At3g50770,"Calmodulin-related protein, putative,CML41"
At3g57260,"Glycosyl hydrolase family 17 protein, similar to glucan endo-1,3-beta glucosidase,PR-2"
At4g23150,"Cysteine-rich receptor-like protein kinase (RLK7, CRK7)"
At1g75040,"Pathogenesis-related protein 5,PR-5"
At2g14610,"Pathogenesis-related protein 1,PR-1"
At2g32680,"Receptor like protein 23,RLP23"
At3g25882,"NPR1/NIM1-interacting protein 2,NIMIN-2"
At3g52430,"Phytoalexin-deficient 4 protein,PAD4"
At5g60900,"Receptor-like protein kinase 1,RLK1"
