Virulence factor,Identity (%)
,
,ISS_1,ISS_2,ISS_3,ISS_4,OG1RF,V583,MMH594
ElrA,99.5,99.72,99.72,100,100,100,100
SrtA,100,100,100,100,100,100,100
ace,98.5,97.71,97.71,96.9,97.5,100,
agg,,,,95.6,,"100, 96.8*",100
cCF10,99.8,"99.9, 99.9*",99.9,"99.8, 99.8*","100, 100*",,
cOB1,100,100,100,99.9,100,100,100
cad,99.9,100,100,99.8,100,100,100
camE,100,"99.6, 99.6*",99.6,"100, 100*",100,100,100
cylA,,,,,,,"99.8, 99.8*"
cylL,,,,,,100,100
cylM,,,,,,100,100
ebpA,100,100,100,100,100,100,100
ebpB,100,99.8,99.8,,,100,100
ebpC,100,,,100,100,100,100
efaAfs,100,99.9,99.9,100,100,100,100
fsrB,99.9,,,100,100,100,100
gelE,99.4,99.9,99.9,100,"100, 100*",100,100
hylA,,,,99.9,100,100,99.7
hylB,99.9,99.5,99.5,99.6,100,100,100
tpx,100,100,100,100,100,100,100
