,Cohnella hashimotonisF6_2S_P_1T
Species (NCBI accession no.),ANI value (%),dDDH (%) (formula 2)
Cohnella ginsengisoliDSM 18997T,88.4,35
Cohnella rhizosphaeraeDSM 28161T,88.0,34.2
Cohnella nanjingensisDSM 28246T(GCA_014212125.1),79.3,21.5
Cohnella xylanilyticaDSM 25239T(GCA_014212175.1),78.6,20.3
Cohnella thailandensisDSM 25241T(GCA_014212135.1),78.3,20.2
“Cohnella zeiphila” CBP-2801 (GCA_014212055.1),78.2,19.9
Cohnella lubricantisDSM 103658T(GCA_014212015.1),78.2,20.3
“Cohnella candidum” 18JY8-7 (GCA_003713065.1),78.0,20.1
Cohnella thermotoleransDSM 17683T(GCA_000429825.1),78.0,19.9
Cohnella algarumPch-40T(GCA_016937515.1),77.7,20.5
Cohnella laeviribosiDSM 21336T(GCA_000378425.1),77.5,19.5
Cohnella panacarviGsoil 349T(GCA_000515335.1),77.5,19.7
“Cohnella abietis”HS21 (GCA_004295585.1),<77,22.6
Cohnella boryungensisDSM 26489T(GCA_016908615.1),<77,19
Cohnella endophyticaM2MS4P-1T(GCA_003628305.1),<77,19.7
Cohnella faecalisK2E09-144T(GCA_003570905.1),<77,20.4
Cohnella kolymensisVKM B-2846T(GCA_000829465.1),<77,18.9
Cohnella luojiensisCCTCC AB 208254T(GCA_004564235.1),<77,18.5
Cohnella lupiniCECT 8236T(GCA_003386205.1),<77,19.4
Cohnella phaseoliCECT 7287T(GCA_003386235.1),<77,20.6
“Cohnella pontilimi”CAU 1483 (GCA_005049045.1),<77,19.4
