AMR genes and its role,AMR genes that are present in the strains that are:
ISS (n = 5),153 ECLO,MBRL 1077,EB247
"Cystine ABC transporter, ATP-binding protein",+,+,+,+
"Cystine ABC transporter, permease protein",+,+,+,+
D-cysteine desulfhydrase (EC 4.4.1.15),+,+,+,+
Spectinomycin 9-O-adenylyltransferase,,,,+
Streptomycin 3-O-adenylyltransferase (EC 2.7.7.47),,,,+
Arsenate reductase (EC 1.20.4.1),+,+,+,+
Arsenic efflux pump protein,+,+,+,+
Arsenic resistance protein ArsH,,,,+
Arsenical resistance operon repressor,+,+,+,+
Beta-lactamase (EC 3.5.2.6),+,+,+,+
Beta-lactamase class C and other penicillin binding proteins,,,+,
Metal-dependent hydrolases of the beta-lactamase superfamily I,+,+,+,+
Cation efflux system protein CusA,+,+,+,+
Cation efflux system protein CusC precursor,,,+,+
Cation efflux system protein CusF precursor,,,+,+
Cobalt-zinc-cadmium resistance protein,+,+,+,+
Cobalt-zinc-cadmium resistance protein CzcA,+,+,+,+
"Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family",,,+,+
Copper-sensing two-component system response regulator CusR,,,+,+
DNA-binding heavy metal response regulator,+,+,+,+
Heavy metal sensor histidine kinase,,,,+
Probable Co/Zn/Cd efflux system membrane fusion protein,+,+,+,+
Zinc transporter ZitB,+,+,+,+
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2),+,+,+,+
Amidophosphoribosyltransferase (EC 2.4.2.14),+,+,+,+
Colicin V production protein,+,+,+,+
DedA protein,+,+,+,+
DedD protein,+,+,+,+
Dihydrofolate synthase (EC 6.3.2.12),+,+,+,+
Folylpolyglutamate synthase (EC 6.3.2.17),+,+,+,+
tRNA pseudouridine synthase A (EC 4.2.1.70),+,+,+,+
Blue copper oxidase CueO precursor,+,+,+,+
Copper resistance protein C precursor,+,+,+,+
Copper resistance protein D,+,+,+,+
Copper-translocating P-type ATPase (EC 3.6.3.4),+,+,+,+
Copper homeostasis protein CutE,+,+,+,+
Copper homeostasis protein CutF precursor,+,+,+,+
Magnesium and cobalt efflux protein CorC,+,+,+,+
"Membrane protein, suppressor for copper-sensitivity ScsB",+,+,+,+
"Membrane protein, suppressor for copper-sensitivity ScsD",+,+,+,+
"Secreted protein, suppressor for copper-sensitivity ScsC",+,+,+,+
Suppression of copper sensitivity: putative copper binding protein ScsA,+,+,+,+
Fosfomycin resistance protein FosA,+,+,+,+
Membrane-bound lysozyme inhibitor of c-type lysozyme,+,+,+,+
16 kDa heat shock protein A,+,+,+,+
16 kDa heat shock protein B,+,+,+,+
HTH-type transcriptional regulator YidP,+,+,+,+
Mediator of hyperadherence YidE,+,+,+,+
Outer membrane lipoprotein YidQ,+,+,+,+
Uncharacterized protein YidR,+,+,+,+
Mercuric ion reductase (EC 1.16.1.1),,,,+
"PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase",+,+,+,+
Mercuric resistance operon coregulator,,,,+
Mercuric resistance operon regulatory protein,,,,+
"Mercuric transport protein, MerE",,,,+
Acriflavin resistance protein,+,+,+,+
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-),+,+,+,+
Macrolide-specific efflux protein MacA,+,+,+,+
Membrane fusion protein of RND family multidrug efflux pump,+,+,+,+
"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",+,+,+,+
