Proteins,Fold changes,Function
FAM98B,5.59,Cell organization
PTN,5.404,Apoptotic signaling
Tpm1,5.30,Cell structure and function
MRPL42,5.195,Mitochondrial function
PMEL,5.02,Cellular organization
LYRM9,4.609,Cell assembly
S100A1,4.55,Cell cycle
TUSC2,4.43,Cell cycle
FAM210B,3.78,Cell cycle progression
SCYL3,−6.79,Neuron development and viability
CRYBB1,−5.28,Ganglion cell survival
Gm1553,−5.14,Immune response
ISY1-RAB3,−4.10,Cell organization
TNNT 3,−3.93,Calcium signaling
EPB 41,−3.81,Cell structure
CRY1,−3.81,Circadian clock
ACTA1,−3.78,Cell movement
CRYAB,−3.66,Apoptosis and oxidative stress
CRYBA1,−3.63,Lens function
