Gene,Log2FC,Symbol,Short description
AT5G07322,7.72,NA,Other RNA [Source:TAIR;Acc:AT5G07322]
AT3G09925,7.35,NA,Pollen Ole e 1 allergen and extensin family protein [Source:TAIR;Acc:AT3G09925]
AT1G28815,7.15,NA,Unknown protein; has five BLAST hits to five proteins in two species: Archae ‐ 0; Bacteria ‐ 0; Metazoa ‐ 0; Fungi ‐ 0; Plants ‐ 5; Viruses ‐ 0; Other Eukaryotes ‐ 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G28815]
AT5G48920,7.06,TED7,Tracheary element differentiation‐related 7 [Source:TAIR;Acc:AT5G48920]
AT5G43350,6.94,ATPT1,Phosphate transporter 1;1 [Source:TAIR;Acc:AT5G43350]
AT2G30395,6.92,ATOFP17,Ovate family protein 17 [Source:TAIR;Acc:AT2G30395]
AT3G24460,6.81,NA,Serinc‐domain containing serine and sphingolipid biosynthesis protein [Source:TAIR;Acc:AT3G24460]
AT5G57887,6.63,NA,Unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae ‐ 12; Bacteria ‐ 1396; Metazoa ‐ 17338; Fungi ‐ 3422; /…/ ‐ 5037; Viruses ‐ 0; Other Eukaryotes ‐ 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G57887]
AT2G28671,6.50,NA,Unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 30201 Blast hits to 17322 proteins in 780 species: Archae ‐ 12; Bacteria ‐ 1396; Metazoa ‐ 17338; Fungi ‐ /…/ Plants ‐ 5037; Viruses ‐ 0; Other Eukaryotes ‐ 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G28671]
AT1G77885,6.45,NA,Unknown protein; BESTArabidopsis thalianaprotein match is: unknown protein (TAIR:AT1G22065.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae ‐ 798; Bacteria ‐ 22429; Metazoa ‐ 974; Fungi ‐ 991; Plants ‐ 531; Viruses ‐ 0; Other Euk /…/s ‐ 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT1G77885]
AT5G19230,6.17,NA,Glycoprotein membrane precursor GPI‐anchored [Source:TAIR;Acc:AT5G19230]
AT4G23500,5.85,NA,Pectin lyase‐like superfamily protein [Source:TAIR;Acc:AT4G23500]
AT4G27950,−4.04,CRF4,Cytokinin response factor 4 [Source:TAIR;Acc:AT4G27950]
AT3G63430,−4.10,TRM5,"TON1 RECRUITING MOTIF 5, TRM5 zinc finger CCCH domain protein;(source:Araport11)"
AT5G01445,−4.13,NA,Unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; Has 5 Blast hits to 5 proteins in 2 species: Archae ‐ 0; Bacteria ‐ 0; Metazoa ‐ 0; Fungi ‐ 0; Plants ‐ 5; Viruses ‐ 0; Ot /…/karyotes ‐ 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G01445]
AT5G41071,−4.20,NA,Unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae ‐ 12; Bacteria ‐ 1396; Metazoa ‐ 17338; Fungi ‐ 3422; Plants ‐ 5037; Viruses ‐ 0; Other Eukaryotes ‐ 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G41071]
AT5G07140,−4.50,NA,Protein kinase superfamily protein [Source:TAIR;Acc:AT5G07140]
AT4G33270,−4.74,CDC20.1,Transducin family protein / WD‐40 repeat family protein [Source:TAIR;Acc:AT4G33270]
AT4G22235,−5.24,NA,Arabidopsisdefensin‐like protein [Source:TAIR;Acc:AT4G22235]
AT2G22496,−5.56,MIR779A,MIR779a; miRNA [Source:TAIR;Acc:AT2G22496]
