ORF,Protein,Relative protein abundance∗,P-value,Putative function/activity
AFUA_5G05630,,2.15,1.19E-03,60S ribosomal protein L23
AFUA_6G05200,,2.01,4.67E-02,60S ribosomal protein L28
AFUA_4G03880,,1.66,7.86E-03,60S ribosomal protein L7
AFUA_4G07435,,1.60,2.68E-04,60S ribosomal protein L36
AFUA_5G06360,,1.59,1.46E-03,60S ribosomal protein L8
AFUA_2G03380,,1.58,2.37E-03,large ribosomal subunit
AFUA_4G07730,,1.56,3.32E-02,60S ribosomal protein L11
AFUA_1G03390,,1.54,4.06E-03,60S ribosomal protein L12
AFUA_1G09100,,1.47,1.38E-03,60S ribosomal protein L9
AFUA_6G11260,,1.46,6.21E-03,Ribosomal protein L26
AFUA_5G03020,,1.43,3.84E-02,60S ribosomal protein L4
AFUA_2G11850,Rpl3,1.39,2.36E-04,Allergenic ribosomal L3 protein
AFUA_2G16370,,1.39,4.93E-03,60S ribosomal protein L32
AFUA_1G14410,Rpl17,1.36,5.82E-03,60S ribosomal protein L17
AFUA_2G09210,,1.34,1.17E-02,60S ribosomal protein L10
AFUA_2G03040,,1.34,4.84E-02,Ribosomal protein L34
AFUA_3G06760,,1.32,1.48E-02,Ribosomal protein L37
AFUA_1G05080,,1.27,5.66E-03,60S ribosomal protein P0
AFUA_4G04460,,1.25,5.15E-03,60S ribosomal protein L13
AFUA_3G13480,,1.22,3.30E-02,Translation initiation factor 2 alpha subunit
AFUA_6G03830,,1.22,3.22E-03,Ribosomal protein L14
AFUA_6G12660,,1.18,2.46E-02,40S ribosomal protein S10b
AFUA_1G11130,,1.18,2.20E-02,60S ribosomal protein L6
AFUA_1G12890,,1.17,1.89E-03,60S ribosomal protein L5
AFUA_2G09200,,1.10,1.83E-03,60S ribosomal protein L30
AFUA_2G16010,,1.07,2.97E-02,Prolyl-tRNA synthetase
AFUA_2G03590,Rps21,1.05,8.30E-04,Ribosomal protein S21e
""
