Proteinaccession No.a,Putative Protein function,Protein relative abundance*,p-value
Carbohydrate and lipid metabolic processes
Wild type
CF317_004827-T1,Casein kinase I 1,0.656,4.63E-02
CF317_002949-T1,Feruloyl esterase,−0.859,1.16E-03
CF317_008131-T1,"Arabinan endo-1,5-alpha-L-arabinosidase",−0.998,4.32E-02
Mutant
CF317_003266-T1,Malate dehydrogenase,1.244,3.48E-02
CF317_000614-T1,"1,3-beta-D-glucan-UDP glucosyltransferase",0.893,2.26E-02
CF317_004588-T1,"Alpha, alpha-trehalase",0.813,2.42E-02
CF317_003037-T1,Acyl-CoA-dependent ceramide synthase,0.797,1.16E-03
CF317_000059-T1,PSDC domain-containing protein,−0.634,7.14E-03
CF317_004317-T1,"3′(2′),5′-bisphosphate nucleotidase",−0.650,4.52E-02
CF317_008979-T1,Epimerase domain-containing protein,−0.727,2.36E-02
CF317_003714-T1,Mannitol-1-phosphate 5-dehydrogenase,−0.739,9.36E-05
CF317_008448-T1,Phosphotransferase,−0.790,4.34E-04
CF317_003513-T1,2-phosphoglycerate dehydratase,−0.870,1.53E-03
CF317_006165-T1,Esterase/lipase,−0.917,9.78E-03
CF317_003202-T1,Concanavalin A-like lectin/glucanase,−0.918,4.79E-02
CF317_005481-T1,"6-phosphogluconate dehydrogenase, decarboxylating",−0.960,7.57E-04
CF317_004751-T1,Phosphoglycerate kinase,−1.143,8.27E-04
CF317_007096-T1,6-phosphofructo-2-kinase,−1.494,5.59E-03
Transport
Wild type
CF317_001911-T1,"MFS transporter, SP family, major inositol transporter",0.747,2.92E-02
CF317_002664-T1,Plasma membrane ATPase,0.702,3.25E-02
CF317_004827-T1,Casein kinase I 1,0.656,4.63E-02
Mutant
CF317_000614-T1,"1,3-beta-D-glucan-UDP glucosyltransferase",0.893,2.26E-02
CF317_001401-T1,t-SNARE coiled-coil homology domain-containing protein,0.843,4.08E-02
CF317_004472-T1,Endoplasmic reticulum transmembrane protein,0.742,4.09E-04
CF317_006347-T1,Inorganic phosphate transport protein PHO88,0.588,4.10E-02
CF317_002531-T1,Putative inorganic phosphate transporter C8E4.01c,−0.591,1.01E-03
CF317_007808-T1,NTF2 domain-containing protein,−0.756,2.95E-02
CF317_008448-T1,Phosphotransferase,−0.790,4.34E-04
"Transcription, RNA and cellular amino acid metabolic processes"
Wild type
CF317_001633-T1,Histone H2A,0.752,9.78E-03
CF317_002935-T1,Aromatic amino acid aminotransferase,0.633,1.18E-02
Mutant
CF317_008030-T1,D-amino-acid oxidase domain-containing protein,0.783,1.10E-02
CF317_003734-T1,Ribosomal_L23eN domain-containing protein,0.771,4.09E-02
