TAIR ID,Description,L2FC,FDR
AT4G14250,Structural constituent of ribosome,−2.66,0.001
AT3G13120,"30S ribosomal protein S10, chloroplastic",1.00,0.015
AT2G33450,"50S ribosomal protein L28, chloroplastic",1.01,0.021
AT5G30510,Ribosomal protein S1,1.01,0.002
AT5G54600,"50S ribosomal protein L24, chloroplastic",1.01,0.012
AT1G79850,"30S ribosomal protein S17, chloroplastic",1.02,0.002
AT5G20180,Ribosomal protein L36,1.03,0.019
AT5G40950,"50S ribosomal protein L27, chloroplastic",1.05,0.002
AT2G24090,Ribosomal protein L35,1.06,0.001
AT4G11175,"Translation initiation factor IF-1, chloroplastic",1.08,0.002
AT3G27160,Ribosomal protein S21 family protein,1.11,0.001
AT1G68590,"30S ribosomal protein 3–1, chloroplastic",1.13,0.025
AT1G32990,"50S ribosomal protein L11, chloroplastic",1.18,0.003
