Gene Name,Accession No.,Official Name,Process
Runx2,NM_009820,Runt Related Transcription Factor 2,Differentiation
Bglap,NM_007541,Bone γ carboxyglutamate protein (osteocalcin),Differentiation
Alpl,NM_007431,Alkaline Phosphatase Ligand,Differentiation
Pcna,NM_011045,Proliferating Cell Nuclear Antigen,Proliferation
Cdk2,NM_016756,Cyclin-dependent Kinase 2,Proliferation
p21,NM_007669,Cyclin-dependent Kinase Inhibitor 1,Proliferation
p53,NM_011640,Transformation-related protein 53,Proliferation
Cat,NM_009804,Catalase,Oxidative Metabolism
Gpx1,NM_008160,Glutathione Peroxidase,Oxidative Metabolism
MnSod,NM_013671,"Superoxide Dismutase 2, Mitochondrial",Oxidative Metabolism
CuZnSod,NM_011434,Superoxide Dismutase,Oxidative Metabolism
iNos [Nos2],NM_010927,"Nitric Oxide Synthase 2, Inducible",Oxidative Metabolism
Foxo1,NM_019739,Forkhead Box,Oxidative Metabolism
Gadd45a,NM_007836,Growth Arrest and DNA Damage,Oxidative Metabolism
Caspase 3,NM_009810,Caspase 3,Apoptosis
Hprt,NM_013556,Hypoxanthine-guanine phosphoribosyltransferase,Housekeeping
