UP Reg Gene ID,Log2FC RNA‐Seq,Log2FC microarray,Accession number and short description
AT4G40090,10.14,6.17,"NM_120175. Arabidopsis thaliana AGP3 (arabinogalactan‐protein 3) (AGP3) mRNA, complete cds."
AT1G48750,9.01,5.21,"NM_103770. Arabidopsis thaliana protease inhibitor/seed storage/lipid transfer protein (LTP) family protein (AT1G48750) mRNA, complete cds."
AT5G05960,8.93,5.76,"NM_120678. Arabidopsis thaliana protease inhibitor/seed storage/lipid transfer protein (LTP) family protein (AT5G05960) mRNA, complete cds."
AT3G18280,8.82,4.93,"NM_112712. Arabidopsis thaliana protease inhibitor/seed storage/lipid transfer protein (LTP) family protein (AT3G18280) mRNA, complete cds."
AT1G12040,8.53,7.29,"NM_101076. Arabidopsis thaliana LRX1 (LEUCINE‐RICH REPEAT/EXTENSIN 1); histidine phosphotransfer kinase/protein binding/structural constituent of cell wall (LRX1) mRNA, complete cds."
AT5G67400,8.46,7.98,"NM_126140. Arabidopsis thaliana peroxidase 73 (PER73) (P73) (PRXR11) (AT5G67400) mRNA, complete cds."
AT1G10380,8.31,5.16,"NM_100912. Arabidopsis thaliana Putative membrane lipoprotein mRNA, complete cds."
AT3G54590,8.21,5.49,"NM_115316. Arabidopsis thaliana ATHRGP1 (HYDROXYPROLINE‐RICH GLYCOPROTEIN); structural constituent of cell wall (ATHRGP1) mRNA, complete cds."
AT3G25930,8.08,5.96,"NM_113497. Arabidopsis thaliana universal stress protein (USP) family protein (AT3G25930) mRNA, complete cds."
AT5G65530,8.01,6.86,"NM_125951. Arabidopsis thaliana protein kinase, putative (AT5G65530) mRNA, complete cds."
AT1G02900,7.84,6.83,"NM_100171. Arabidopsis thaliana RALF1 (RAPID ALKALINIZATION FACTOR 1); signal transducer (RALF1) mRNA, complete cds."
AT1G30870,7.76,6.18,"NM_102824. Arabidopsis thaliana cationic peroxidase, putative (AT1G30870) mRNA, complete cds."
AT1G48930,7.68,7.19,"NM_103786. Arabidopsis thaliana AtGH9C1 (Arabidopsis thaliana glycosyl hydrolase 9C1); catalytic/hydrolase, hydrolyzing O‐glycosyl compounds (AtGH9C1) mRNA, complete cds."
AT5G58010,7.68,5.77,"NM_125186. Arabidopsis thaliana basic helix‐loop‐helix (bHLH) family protein (AT5G58010) mRNA, complete cds."
AT1G75750,7.64,7.02,"NM_106225. Arabidopsis thaliana GASA1 (GAST1 PROTEIN HOMOLOG 1) (GASA1) mRNA, complete cds."
AT5G66815,7.54,5.29,"NM_126080. Arabidopsis thaliana C‐TERMINALLY ENCODED PEPTIDE 5, CEP5 transmembrane protein(AT5G66815) mRNA, complete cds."
AT3G21550,7.51,3.09,"NM_113050. Arabidopsis thaliana DUF679 DOMAIN MEMBRANE PROTEIN 2, ATDMP2, DMP2, DUF679 DOMAIN MEMBRANE PROTEIN 2 (AT3G21550) mRNA, complete cds."
AT3G10340,7.40,5.17,"NM_111869. Arabidopsis thaliana PAL4 (Phenylalanine ammonia‐lyase 4); ammonia ligase/ammonia‐lyase/catalytic (PAL4) mRNA, complete cds."
AT4G02270,7.39,6.70,"NM_116460. Arabidopsis thaliana pollen Ole e 1 allergen and extensin family protein (AT4G02270) mRNA, complete cds."
AT5G44130,7.37,5.33,"NM_123780. Arabidopsis thaliana FLA13 (FASCICLIN‐LIKE ARABINOGALACTAN PROTEIN 13 PRECURSOR) (FLA13) mRNA, complete cds."
AT5G19520,−5.59,−4.39,"NM_121957. Arabidopsis thaliana MSL9 (MECHANOSENSITIVE CHANNEL OF SMALL CONDUCTANCE‐LIKE 9); mechanically‐gated ion channel (MSL9) mRNA, complete cds."
AT3G13175,−5.61,−3.43,"NM_112157. Arabidopsis thaliana unknown protein (AT3G13175) mRNA, complete cds."
AT2G38810,−5.72,−5.54,"NM_129438. Arabidopsis thaliana HTA8 (HISTONE H2A 8); DNA‐binding (HTA8) mRNA, complete cds."
AT5G13870,−5.78,−4.06,"NM_121390. Arabidopsis thaliana EXGT‐A4 (ENDOXYLOGLUCAN TRANSFERASE A4); hydrolase, acting on glycosyl bonds/hydrolase, hydrolyzing O‐glycosyl compounds / x> (EXGT‐A4) mRNA, complete cds."
AT1G57590,−5.79,−4.63,"NM_104556. Arabidopsis thaliana carboxylesterase (AT1G57590) mRNA, complete cds."
AT3G51280,−5.99,−3.91,"NM_114987. Arabidopsis thaliana male sterility MS5, putative (AT3G51280) mRNA, complete cds."
AT2G23050,−6.26,−5.40,"NM_127869. Arabidopsis thaliana NPY4 (NAKED PINS IN YUC MUTANTS 4); protein binding/signal transducer (NPY4) mRNA, complete cds."
AT2G22610,−6.30,−2.95,"NM_127826. Arabidopsis thaliana kinesin motor protein‐related (AT2G22610) mRNA, complete cds."
AT2G34020,−6.35,−3.11,"NM_128953. Arabidopsis thaliana calcium ion binding (AT2G34020) mRNA, complete cds."
AT5G48940,−6.38,−4.74,"NM_124271. Arabidopsis thaliana leucine‐rich repeat transmembrane protein kinase, putative (AT5G48940) mRNA, complete cds."
AT2G20515,−6.48,−3.32,"NM_127611. Arabidopsis thaliana pollen Ole e I family allergen protein (AT2G20515) mRNA, complete cds."
