Bin name,Taxonomya,GenBank assembly accession no.,Total length (bp),N50(bp),GC content (%),Completeness (%),Redundancy (%)
Bin_1_1,Mycobacteriumsp. AWPF1,SSGB00000000,"2,707,225","10,968",68.44,38.85,0.72
Bin_1_3,Mycobacteriumsp. AWPF2,SSGA00000000,"4,217,119","13,813",68.81,60.43,3.6
Bin_1_5,UnclassifiedActinobacteriafamilyUBA10799bacterium AWPF1,SSET00000000,"3,552,223","35,771",69.31,84.17,8.63
Bin_1_8,UnclassifiedActinobacteriafamilyUBA10799bacterium AWPF2,SSES00000000,"1,125,909","10,906",67.03,22.3,9.35
Bin_10_1,Polynucleobactersp.,SSFP00000000,"1,928,064","15,906",42.88,78.42,7.19
Bin_11_1,Tolumonassp.,SSEX00000000,"1,832,732","10,968",47.81,53.24,2.88
Bin_11_4,UnclassifiedCyclobacteriaceaebacterium,SSEN00000000,"2,496,402","8,305",45.51,36.69,9.35
Bin_11_5,CyclobacteriaceaeELB16-189 sp.,VIGN00000000,"1,066,491","8,282",43.86,36.69,12.23
Bin_12_3,UnclassifiedHyphomicrobiaceaebacterium,SSEH00000000,"2,999,406","8,617",55.82,7.19,12.23
Bin_14_1,Novosphingobiumsp.,SSFU00000000,"1,517,683","8,392",64.2,29.5,0.72
Bin_14_3,UnclassifiedGammaproteobacteriabacterium AWPF1,SSEJ00000000,"2,472,121","8,119",63.57,51.08,14.39
Bin_14_4,Pseudoxanthomonassp.,SSFJ00000000,"1,848,156","8,064",67.96,34.53,0
Bin_14_5,UnclassifiedGammaproteobacteriabacterium AWPF2,SSEI00000000,"1,859,286","10,791",62.7,43.17,41.73
Bin_15_1,Nitrosomonassp. AWPF2,SSFW00000000,"2,557,120","18,443",43.85,83.45,1.44
Bin_15_2,BurkholderiaceaeUBA7693 sp.,SSGW00000000,"2,650,165","9,223",49.03,22.3,0.72
Bin_15_3,MoranbacteralesUBA1568 sp.,SSGE00000000,"580,840","8,401",50.03,48.2,2.88
Bin_15_5,UnclassifiedMoranbacteralesUBA1568 sp. AWPF1,SSEE00000000,"880,789","8,806",45.6,66.91,19.42
Bin_15_6,UnclassifiedMoranbacteralesUBA1568 sp. AWPF2,SSED00000000,"1,461,468","7,107",48.36,52.52,15.83
Bin_17_3,UnclassifiedRhodocyclaceaebacterium AWPF3,SSDZ00000000,"3,614,409","8,707",60.2,60.43,10.79
