No.,CBS 513.88 gene,ATCC 1015 gene (FungiDB),JGI v4 protein ID,Gene name,Gene type,SM(s) produced
1,An01g00060,ASPNIDRAFT_55511,1083843,,PKS-like,
2,An01g01130,No homolog,No homolog,,HR-PKS,
3,An01g06930,ASPNIDRAFT_225574,1162446,fum1,HR-PKS,"Fumonisins163,164"
4,An01g06950,ASPNIDRAFT_225587,1083446,,HR-PKS,
5,An01g11770,ASPNIDRAFT_170963,1082121,,NRPS-like,
6,An02g00210,N/A,1121186,,NRPS-like,
7,An02g00450,ASPNIDRAFT_118617,1088618,,HR-PKS,
8,An02g00840,ASPNIDRAFT_36645,1184525,,NRPS-like,
9,An02g05070,ASPNIDRAFT_36929,1158197,,NRPS,
10,An02g08290,ASPNIDRAFT_118624,1122199,,Hybrid,
11,An02g09430,ASPNIDRAFT_37260,1135841,,HR-PKS,
12,An02g10140,ASPNIDRAFT_173610,1152150,,NRPS-like,
13,An02g14220,ASPNIDRAFT_55650,1165581,,PKS-like,
14,An03g00650,ASPNIDRAFT_128584,1166499,,NRPS,
15,An03g01820,N/A,1109472,,NR-PKS,
16,An03g03520,ASPNIDRAFT_191228,1186498,sidD,NRPS,Siderophore
17,An03g04890,ASPNIDRAFT_191577,1186592,,TC,
18,An03g05140,ASPNIDRAFT_118598,1159456,,HR-PKS,
19,An03g05440,ASPNIDRAFT_191422,1153534,,NR-PKS,
20,An03g05680,ASPNIDRAFT_191357,1092575,,NRPS-like,
21,An03g06010,ASPNIDRAFT_44571,44571,,NRPS,
22,An03g06380,ASPNIDRAFT_191702,1125648,,HR-PKS,
23,An04g01150,ASPNIDRAFT_190264,1094020,,NRPS-like,
24,An04g04340,ASPNIDRAFT_44005,1126346,,HR-PKS,
25,An04g04380,ASPNIDRAFT_190891,1177621,,NRPS-like,
26,An04g06260,ASPNIDRAFT_118635,1177761,,NRPS,
27,An04g09530,ASPNIDRAFT_51499,1126849,ktnS,NR-PKS,Kotanin114
28,An04g10030,ASPNIDRAFT_118662,1126920,,HR-PKS,
29,An05g01060,ASPNIDRAFT_118599,1102698,,NRPS,
30,An06g00430,ASPNIDRAFT_175936,1169209,,PKS-like,
31,An06g01300,ASPNIDRAFT_207636,1189171,sidC,NRPS,Siderophore
32,An07g01030,No homolog,1151290,,NR-PKS,
33,An07g02560,ASPNIDRAFT_40106,1164213,,DMAT,
34,An08g02310,ASPNIDRAFT_52774,1168636,,NRPS,
35,An08g03790,ASPNIDRAFT_176722,1188722,,Hybrid,
36,An08g04820,ASPNIDRAFT_38316,1188789,,NRPS-like,
37,An08g09220,No homolog,No homolog,,NRPS-like,
38,An08g10830,ASPNIDRAFT_120113,1130084,,TC,
39,An08g10930,ASPNIDRAFT_47227,1114420,,PKS-like,
40,An09g00450,ASPNIDRAFT_188738,1114543,,NRPS-like,
41,An09g00520,ASPNIDRAFT_43555,1114546,,NRPS,
42,An09g01290,ASPNIDRAFT_43495,1148587,,HR-PKS,
43,An09g01690,ASPNIDRAFT_212679,1079950,,NRPS,
44,An09g01860,ASPNIDRAFT_56946,1080089,azaA,NR-PKS,Azanigerones117
45,An09g01930,ASPNIDRAFT_188817,1148627,azaB,HR-PKS,Azanigerones117
46,An09g02100,No homolog,No homolog,,PKS-like,
47,An09g05110,ASPNIDRAFT_129581,1114952,,NRPS-like,
48,An09g05340,ASPNIDRAFT_188697,188697,,HR-PKS,
49,An09g05730,ASPNIDRAFT_56896,1099425,albA(fwnA),NR-PKS,"Naphtho-γ-pyrones, melanin165"
50,An09g06090,ASPNIDRAFT_50045,50045,,TC,
51,An10g00140,ASPNIDRAFT_44965,1123159,yanA,HR-PKS,Yanuthone D121
